Simulació,Passos,Jornada,Dobles,Triples,Preu,Encerts,Premi,Recompensa
1,1,40508,0,4,6.75,9,0.0,-6.75
1,2,40509,0,4,6.75,10,1.84,-4.91
1,3,40510,0,4,6.75,5,0.0,-6.75
1,4,40512,0,4,6.75,11,4.51,-2.24
1,5,40514,0,4,6.75,10,2.02,-4.73
1,6,40515,0,4,6.75,9,0.0,-6.75
1,7,40517,0,4,6.75,8,0.0,-6.75
1,8,40518,0,4,6.75,10,1.65,-5.1
1,9,40519,0,4,6.75,10,4.65,-2.1
1,10,40521,0,4,6.75,12,7.33,0.58
1,11,40522,0,4,6.75,8,0.0,-6.75
1,12,40524,0,4,6.75,11,1.69,-5.06
1,13,40526,0,4,6.75,6,0.0,-6.75
1,14,40527,0,4,6.75,10,2.25,-4.5
1,15,40528,0,4,6.75,9,0.0,-6.75
1,16,40531,0,4,6.75,10,0.62,-6.13
1,17,40532,0,4,6.75,7,0.0,-6.75
1,18,40533,0,4,6.75,6,0.0,-6.75
1,19,40534,0,4,6.75,8,0.0,-6.75
1,20,40535,0,4,6.75,11,2.05,-4.7
1,21,40536,0,4,6.75,11,2.7,-4.05
1,22,40538,0,4,6.75,8,0.0,-6.75
2,1,212201,0,4,6.75,8,0.0,-6.75
2,2,212202,0,4,6.75,7,0.0,-6.75
2,3,212203,0,4,6.75,10,10.49,3.74
2,4,212205,0,4,6.75,9,0.0,-6.75
2,5,212207,0,4,6.75,5,0.0,-6.75
2,6,212209,0,4,6.75,11,6.91,0.16
2,7,212211,0,4,6.75,8,0.0,-6.75
2,8,212213,0,4,6.75,11,2.71,-4.04
2,9,212215,0,4,6.75,8,0.0,-6.75
2,10,212217,0,4,6.75,9,0.0,-6.75
2,11,212219,0,4,6.75,10,2.82,-3.93
2,12,212221,0,4,6.75,11,3.78,-2.97
2,13,212223,0,4,6.75,8,0.0,-6.75
2,14,212224,0,4,6.75,9,0.0,-6.75
2,15,212226,0,4,6.75,10,2.76,-3.99
2,16,212227,0,4,6.75,8,0.0,-6.75
2,17,212229,0,4,6.75,7,0.0,-6.75
2,18,212231,0,4,6.75,10,1.19,-5.56
2,19,212234,0,4,6.75,5,0.0,-6.75
2,20,212236,0,4,6.75,8,0.0,-6.75
2,21,212237,0,4,6.75,8,0.0,-6.75
2,22,212239,0,4,6.75,10,1.38,-5.37
2,23,212241,0,4,6.75,11,2.27,-4.48
2,24,212242,0,4,6.75,9,0.0,-6.75
2,25,212244,0,4,6.75,8,0.0,-6.75
2,26,212246,0,4,6.75,8,0.0,-6.75
2,27,212248,0,4,6.75,10,2.5,-4.25
2,28,212249,0,4,6.75,11,7.77,1.02
2,29,212250,0,4,6.75,7,0.0,-6.75
2,30,212253,0,4,6.75,10,1.24,-5.51
2,31,212254,0,4,6.75,8,0.0,-6.75
2,32,212256,0,4,6.75,9,0.0,-6.75
Total,,,,,,,,-287.37
