DOBLES,TRIPLES,APUESTAS,IMPORTE
0,0,0,0.75
0,1,3,2.25
0,2,9,6.75
0,3,27,20.25
0,4,83,60.75
0,5,243,182.25
0,6,729,546.75
0,7,2.187,1640.25
0,8,6.561,4920.75
0,9,19.683,14762.25
1,0,2,1.50
1,1,6,4.50
1,2,18,13.50
1,3,54,40.50
1,4,162,121.50
1,5,486,364.50
1,6,1.458,1093.50
1,7,4.374,3280.50
1,8,13.122,9841.50
2,0,4,3.00
2,1,12,9.00
2,2,36,27.00
2,3,108,81.00
2,4,324,243.00
2,5,972,729.00
2,6,2.916,2187.00
2,7,8.748,6561.00
2,8,26.244,19683.00
3,0,8,6.00
3,1,24,18.00
3,2,72,54.00
3,3,216,162.00
3,4,684,486.00
3,5,1.944,1458.00
3,6,5.832,4374.00
3,7,17.496,13122.00
4,0,16,12.00
4,1,48,36.00
4,2,144,108.00
4,3,432,324.00
4,4,1.296,972.00
4,5,3.888,2916.00
4,6,11.664,8748.00
5,0,32,24.00
5,1,96,72.00
5,2,288,216.00
5,3,864,648.00
5,4,2.592,1944.00
5,5,7.776,5832.00
5,6,23.328,17496.00
6,0,64,48.00
6,1,192,144.00
6,2,576,432.00
6,3,1.728,1296.00
6,4,5.184,3888.00
6,5,15.552,11664.00
7,0,128,96.00
7,1,384,288.00
7,2,1.152,864.00
7,3,3.456,2592.00
7,4,10.368,7776.00
7,5,31.104,23328.00
8,0,256,192.00
8,1,768,576.00
8,2,2.304,1728.00
8,3,6.912,5184.00
8,4,20.736,15552.00
9,0,512,384.00
9,1,1.536,1152.00
9,2,4.608,3456.00
9,3,13.824,10368.00
10,0,1.024,768.00
10,1,3.072,2304.00
10,2,9.216,6912.00
10,3,27.648,20736.00
11,0,2.048,1536.00
11,1,6.144,4608.00
11,2,18.432,13824.00
12,0,4.096,3072.00
12,1,12.288,9216.00
13,0,8.192,6144.00
13,1,24.576,18432.00
14,0,16.384,12288.00
