ID;Temporada;Jornada;Local;Visitant;1;X;2;Resultat
04050801;04-05;08;Osasuna;Albacete;0,5316;0,2756;0,1928;1
04050802;04-05;08;Ath Bilbao;Malaga;0,4980;0,2801;0,2219;1
04050803;04-05;08;Dep. La Coruna;Getafe;0,6505;0,2356;0,1139;1
04050804;04-05;08;Betis;Real Madrid;0,2642;0,2867;0,4491;X
04050805;04-05;08;Atl. Madrid;Racing Santander;0,5896;0,2575;0,1529;1
04050806;04-05;08;Zaragoza;Real Sociedad;0,4694;0,2802;0,2504;1
04050807;04-05;08;Mallorca;Villarreal;0,3772;0,2841;0,3387;X
04050808;04-05;08;Numancia;Levante;0,4081;0,2887;0,3033;2
04050809;04-05;08;Espanyol;Barcelona;0,2132;0,2779;0,5089;2
04050810;04-05;08;Valencia;Sevilla;0,5973;0,2599;0,1427;2
04050811;04-05;08;Valladolid;Lleida;0,4793;0,3123;0,2084;X
04050812;04-05;08;Racing Club Ferrol;Alaves;0,3737;0,3421;0,2842;1
04050813;04-05;08;Cadiz CF;Celta Vigo;0,3466;0,3387;0,3147;1
04050814;04-05;08;UD Salamanca;Recreativo Huelva;0,3553;0,3352;0,3095;1
04050901;04-05;09;Villarreal;Numancia;0,5452;0,2685;0,1863;1
04050902;04-05;09;Real Sociedad;Mallorca;0,5025;0,2744;0,2231;1
04050903;04-05;09;Racing Santander;Zaragoza;0,3904;0,2842;0,3254;1
04050904;04-05;09;Sevilla;Atl. Madrid;0,4527;0,2837;0,2636;1
04050905;04-05;09;Real Madrid;Valencia;0,4665;0,2727;0,2607;1
04050906;04-05;09;Getafe;Betis;0,4047;0,2869;0,3084;2
04050907;04-05;09;Malaga;Dep. La Coruna;0,3622;0,2870;0,3509;X
04050908;04-05;09;Albacete;Ath Bilbao;0,3796;0,2835;0,3368;1
04050909;04-05;09;Barcelona;Osasuna;0,6855;0,2139;0,1005;1
04050910;04-05;09;Levante;Espanyol;0,4352;0,2837;0,2811;2
04050911;04-05;09;Murcia;UD Salamanca;0,3772;0,3381;0,2847;X
04050912;04-05;09;Celta Vigo;Malaga B;0,4623;0,3354;0,2023;X
04050913;04-05;09;Almeria;Valladolid;0,3670;0,3443;0,2886;X
04050914;04-05;09;Alaves;Terrassa;0,4591;0,3348;0,2061;1
04051001;04-05;10;Osasuna;Levante;0,4929;0,2777;0,2294;2
04051002;04-05;10;Ath Bilbao;Barcelona;0,2403;0,2815;0,4781;X
04051003;04-05;10;Dep. La Coruna;Albacete;0,6192;0,2423;0,1385;X
04051004;04-05;10;Betis;Malaga;0,4784;0,2831;0,2385;X
04051005;04-05;10;Real Madrid;Getafe;0,7552;0,1579;0,0869;1
04051006;04-05;10;Zaragoza;Sevilla;0,3960;0,2863;0,3177;1
04051007;04-05;10;Mallorca;Racing Santander;0,4520;0,2819;0,2661;2
04051008;04-05;10;Numancia;Real Sociedad;0,3844;0,2874;0,3283;2
04051009;04-05;10;Espanyol;Villarreal;0,4532;0,2813;0,2655;X
04051010;04-05;10;Valencia;Atl. Madrid;0,5302;0,2764;0,1933;X
04051011;04-05;10;Valladolid;Gimnastic;0,4795;0,3291;0,1914;1
04051012;04-05;10;Cadiz CF;Alaves;0,3899;0,3406;0,2694;2
04051013;04-05;10;UD Salamanca;Celta Vigo;0,3706;0,3434;0,2860;2
04051014;04-05;10;El Ejido;Murcia;0,5279;0,3006;0,1715;X
04051201;04-05;12;Osasuna;Real Sociedad;0,4313;0,2835;0,2853;1
04051202;04-05;12;Ath Bilbao;Villarreal;0,4313;0,2817;0,2871;1
04051203;04-05;12;Dep. La Coruna;Levante;0,5392;0,2696;0,1911;1
04051204;04-05;12;Betis;Barcelona;0,2089;0,2778;0,5133;1
04051205;04-05;12;Real Madrid;Albacete;0,7324;0,1763;0,0913;1
04051206;04-05;12;Getafe;Malaga;0,4250;0,2834;0,2916;1
04051207;04-05;12;Mallorca;Atl. Madrid;0,3833;0,2890;0,3277;X
04051208;04-05;12;Numancia;Sevilla;0,2882;0,2863;0,4255;1
04051209;04-05;12;Espanyol;Racing Santander;0,5160;0,2745;0,2095;1
04051210;04-05;12;Valencia;Zaragoza;0,5399;0,2707;0,1894;X
04051211;04-05;12;Valladolid;Recreativo Huelva;0,3945;0,3377;0,2678;1
04051212;04-05;12;UD Salamanca;Cadiz CF;0,3243;0,3353;0,3404;2
04051213;04-05;12;Cordoba;Celta Vigo;0,2910;0,3425;0,3665;2
04051214;04-05;12;Elche;Murcia;0,5137;0,3050;0,1813;1
04051401;04-05;14;Osasuna;Sevilla;0,4061;0,2921;0,3018;1
04051402;04-05;14;Ath Bilbao;Racing Santander;0,5018;0,2764;0,2218;1
04051403;04-05;14;Dep. La Coruna;Real Sociedad;0,5540;0,2679;0,1781;X
04051404;04-05;14;Betis;Villarreal;0,4761;0,2890;0,2349;1
04051405;04-05;14;Real Madrid;Levante;0,7033;0,2023;0,0944;1
04051406;04-05;14;Getafe;Barcelona;0,1685;0,2665;0,5649;2
04051407;04-05;14;Malaga;Albacete;0,5362;0,2713;0,1925;2
04051408;04-05;14;Numancia;Zaragoza;0,3585;0,2914;0,3501;1
04051409;04-05;14;Espanyol;Atl. Madrid;0,4273;0,2909;0,2818;1
04051410;04-05;14;Valencia;Mallorca;0,5828;0,2559;0,1613;1
04051411;04-05;14;Valladolid;Celta Vigo;0,3750;0,3528;0,2721;X
04051412;04-05;14;Tenerife;Murcia;0,4747;0,3335;0,1917;1
04051413;04-05;14;Pontevedra;Gijon;0,3394;0,3528;0,3078;2
04051414;04-05;14;Terrassa;Gimnastic;0,3957;0,3424;0,2619;2
