Temporada;Jornada;Recaptació;Pot;15;14;13;12;11;10
04-05;01;8854177,50;0;0;218;5481;57191;313955;1038412
04-05;02;5394962,00;0;0;0;19;447;5335;41297
04-05;03;11157351,50;0;0;3;239;4064;38354;231438
04-05;04;12219682,00;0;0;2;121;2414;26969;187957
04-05;05;13689124,50;80924;0;142;3660;40620;257409;1026369
04-05;06;14118746,00;0;0;10;226;3539;32291;183140
04-05;07;7768049,00;0;0;1;26;443;4697;34083
04-05;08;13344618,50;0;0;44;1364;17944;131588;599317
04-05;09;13664512,50;0;0;44;1471;19422;144527;666790
04-05;10;14077040,00;0;0;1;60;877;7861;50994
04-05;11;13487174,50;0;0;10;496;7892;68613;372357
04-05;12;14171489,00;0;0;97;2560;33606;235894;1007022
04-05;13;14049560,50;0;0;22;504;6093;43355;211945
04-05;14;13587132,50;0;0;23;857;12871;113655;604861
04-05;15;13825260,50;0;0;100;2787;32664;212632;879188
04-05;16;13560286,50;0;0;40;1378;17400;123409;564022
04-05;17;13821760,50;0;0;1;151;2665;26028;167196
04-05;18;8563348,00;0;0;20;861;12397;97982;467592
04-05;19;13540885,50;0;0;9;220;3949;40509;261852
04-05;20;13713267,00;0;0;1;70;1146;12849;91361
04-05;21;13735486,00;0;0;1079;18760;140587;634948;1751062
04-05;22;13735789,00;0;0;90;1922;23007;154893;670340
04-05;23;14309789,50;0;0;146;3950;45298;276944;1043590
04-05;24;14178353,50;0;0;378;10250;112226;629457;2066356
04-05;25;14100335,50;0;0;2;17;377;3744;26019
04-05;26;13703184,50;0;0;0;73;924;8655;51452
04-05;27;13772467,50;0;0;25;783;13184;111219;551003
04-05;28;13440768,50;0;0;1;218;4199;45030;289774
04-05;29;15044652,00;0;0;5;308;4975;44257;259218
04-05;30;6449149,00;0;0;1;84;1385;13537;88842
04-05;31;13108235,00;0;0;806;16578;137672;650151;1910892
04-05;32;13416332,50;0;0;3;58;760;6796;43430
04-05;33;13210177,00;0;0;1;27;661;8069;63662
04-05;34;12911663,00;0;0;2;137;2131;21363;136796
04-05;35;12846862,50;0;0;254;7148;79203;470981;1668434
04-05;36;13090854,00;0;0;280;6307;65483;363940;1250303
04-05;37;12590903,00;1888635;0;0;77;1208;13448;91971
04-05;38;11448583,00;0;0;0;16;509;6220;47976
04-05;39;12597592,50;0;0;6;250;3659;34216;203363
04-05;40;6634059,50;0;0;240;6606;62413;297317;865023
04-05;41;5725609,00;0;0;2;33;621;6666;44936
05-06;01;9218596,50;0;5;8;441;7463;69869;380246
05-06;02;5575550,00;0;5;32;2053;24628;142055;503298
05-06;03;11988972,50;0;0;1;66;1624;20780;153180
05-06;04;12316870,50;0;0;0;19;242;1961;13969
05-06;05;13252977,50;0;0;1;52;1088;11190;76135
05-06;06;15276535,50;0;1;3;74;962;9516;62261
05-06;07;7623490,50;0;24;41;1168;12693;81604;339381
05-06;08;12812309,50;0;1;1;37;590;5729;39396
05-06;09;12787323,50;0;193;2009;36430;246043;770115;1000000
05-06;10;12891267,50;0;1;6;316;5481;46798;245663
05-06;11;13493526,50;0;3;5;182;2757;25362;153524
05-06;12;6670036,50;0;1;3;116;1708;14233;78356
05-06;13;13384769,50;0;0;2;93;1398;14218;91659
05-06;14;13226723,00;0;13;49;1406;17004;120071;551952
05-06;15;13163092,00;0;31;76;1842;20913;135130;572768
05-06;16;12204662,50;0;1;4;116;2155;21094;139565
05-06;17;12858218,00;0;5;39;1129;13756;95786;434314
05-06;18;7585203,50;0;0;1;64;1282;15544;117200
05-06;19;12177152,50;0;1;2;152;2376;21820;129568
05-06;20;12487259,50;0;2;2;103;1511;14550;93040
05-06;21;12818599,50;0;86;222;6979;72328;384547;1000000
05-06;22;12770560,00;0;2;3;157;2496;22160;134156
05-06;23;13215086,00;0;1;1;63;973;11316;80289
05-06;24;13078023,50;0;6;11;552;7646;62965;322076
05-06;25;13622752,00;0;58;182;4734;52648;317972;1173780
05-06;26;13571656,50;0;1;1;41;527;5338;37346
05-06;27;13288411,50;0;5;13;391;6226;49627;257431
05-06;28;13505473,50;0;0;4;132;2414;24642;173758
05-06;29;13804948,50;0;1;4;76;937;7583;52381
05-06;30;12644815,50;0;1;2;109;1620;15609;93624
05-06;31;12889187,00;0;1;2;78;1261;12128;80584
05-06;32;12562015,00;0;1;2;56;926;9174;60455
05-06;33;10325514,00;0;1;1;32;515;5562;37411
05-06;34;12046142,00;0;20;42;1185;14806;104878;489719
05-06;35;12059442,50;0;4;7;272;4408;41849;246710
05-06;36;11359696,00;0;1;2;135;2038;19923;123634
05-06;37;10367090,00;0;92;301;6464;62705;329519;1000000
05-06;38;5409111,00;0;42;46;1382;16439;100812;380335
05-06;39;5542515,00;0;1;3;85;1303;11330;68409
05-06;40;5572978,50;0;7;9;233;3138;26121;138750
05-06;41;4966658,00;0;1;2;39;581;5811;36078
05-06;42;4558253,50;0;2;2;77;1535;13953;82040
05-06;43;2523322,00;0;81;280;5426;43333;184844;1000000
06-07;01;7521385,00;0;0;2;74;1478;15475;99417
06-07;02;5141270,50;0;1;9;236;3096;22525;117458
06-07;03;9993477,00;0;16;51;5545;70441;390750;1262056
06-07;04;11919974,00;0;281;400;8434;83130;442240;1431711
06-07;05;12571091,50;0;0;0;21;346;3382;23341
06-07;06;14435773,00;0;17;74;2295;30723;219561;975495
06-07;07;7992485,00;0;0;1;73;1299;12752;84266
06-07;08;13214499,50;0;0;1;26;456;4929;33835
06-07;09;13900185,50;0;14;34;1141;12731;87742;409269
06-07;10;13279879,00;0;0;4;214;3399;31973;194954
06-07;11;13814669,50;0;9;27;1498;21238;136360;563459
06-07;12;13632009,50;0;2;5;229;3450;31558;185206
06-07;13;13622595,00;0;209;3368;53628;347026;1236703;2834513
