ID;Temporada;Jornada;Local;Visitant;1;X;2;Resultat
5060101;05-06;1;Valencia;Betis;0,4668;0,2859;0,2473;1
5060102;05-06;1;Sevilla;Racing Santander;0,5903;0,2541;0,1556;1
5060103;05-06;1;Cadiz CF;Real Madrid;0,1211;0,235;0,6439;2
5060104;05-06;1;Celta Vigo;Malaga;0,4308;0,2877;0,2815;1
5060105;05-06;1;Espanyol;Getafe;0,5567;0,2632;0,1801;2
5060106;05-06;1;Alaves;Barcelona;0,1256;0,2455;0,6289;X
5060107;05-06;1;Mallorca;Dep. La Coruna;0,3622;0,2881;0,3497;2
5060108;05-06;1;Atl. Madrid;Zaragoza;0,5696;0,2658;0,1646;X
5060109;05-06;1;Osasuna;Villarreal;0,327;0,2817;0,3913;1
5060110;05-06;1;Levante;El Ejido;0,5047;0,2849;0,2103;1
5060111;05-06;1;Numancia;Almeria;0,4991;0,2962;0,2047;1
5060112;05-06;1;Hercules;Malaga B;0,4126;0,3102;0,2772;X
5060113;05-06;1;Valladolid;Murcia;0,4755;0,2994;0,2251;1
5060114;05-06;1;Lleida;Castellon;0,4562;0,3078;0,236;1
5060301;05-06;3;Villarreal;Sevilla;0,4768;0,2817;0,2415;X
5060302;05-06;3;Betis;Osasuna;0,5744;0,2618;0,1638;1
5060303;05-06;3;Zaragoza;Valencia;0,3611;0,2875;0,3514;X
5060304;05-06;3;Barcelona;Mallorca;0,7527;0,1577;0,0897;1
5060305;05-06;3;Real Sociedad;Alaves;0,4849;0,2855;0,2297;1
5060306;05-06;3;Getafe;Ath Bilbao;0,3979;0,2887;0,3134;X
5060307;05-06;3;Malaga;Espanyol;0,4443;0,2833;0,2724;2
5060308;05-06;3;Real Madrid;Celta Vigo;0,7298;0,1796;0,0906;2
5060309;05-06;3;Racing Santander;Cadiz CF;0,468;0,2867;0,2453;2
5060310;05-06;3;Levante;Elche;0,5232;0,2992;0,1775;1
5060311;05-06;3;Hercules;Almeria;0,3759;0,3315;0,2926;X
5060312;05-06;3;Tenerife;Malaga B;0,4961;0,3037;0,2002;1
5060313;05-06;3;Gijon;Recreativo Huelva;0,4236;0,3203;0,2561;X
5060314;05-06;3;Valladolid;Gimnastic;0,5216;0,2971;0,1813;2
5060501;05-06;5;Valencia;Real Sociedad;0,621;0,2494;0,1296;1
5060502;05-06;5;Zaragoza;Dep. La Coruna;0,3932;0,286;0,3208;X
5060503;05-06;5;Celta Vigo;Sevilla;0,3995;0,2915;0,309;1
5060504;05-06;5;Espanyol;Villarreal;0,3912;0,2959;0,3129;2
5060505;05-06;5;Ath Bilbao;Racing Santander;0,5366;0,2731;0,1903;X
5060506;05-06;5;Alaves;Real Madrid;0,153;0,2592;0,5878;2
5060507;05-06;5;Mallorca;Malaga;0,4395;0,2866;0,2739;2
5060508;05-06;5;Atl. Madrid;Getafe;0,5588;0,2704;0,1708;2
5060509;05-06;5;Osasuna;Cadiz CF;0,4834;0,2841;0,2326;1
5060510;05-06;5;Levante;Albacete;0,4796;0,3114;0,209;X
5060511;05-06;5;Granada 74;Castellon;0,5291;0,2777;0,1931;X
5060512;05-06;5;Tenerife;Almeria;0,445;0,3139;0,2411;1
5060513;05-06;5;Valladolid;Malaga B;0,5227;0,2938;0,1835;X
5060514;05-06;5;Lleida;Xerez CD;0,4369;0,3176;0,2454;2
5060601;05-06;6;Villarreal;Ath Bilbao;0,504;0,2798;0,2162;1
5060602;05-06;6;Sevilla;Espanyol;0,5028;0,2798;0,2174;X
5060603;05-06;6;Cadiz CF;Celta Vigo;0,3703;0,2897;0,3401;X
5060604;05-06;6;Dep. La Coruna;Osasuna;0,5527;0,2675;0,1799;2
5060605;05-06;6;Barcelona;Zaragoza;0,6907;0,212;0,0973;X
